  KIC = 8120608; CANDIDATE = 5
  PERIOD = 129.94545101; BKJD0 = 176.82719002

      BKJD        PHASE         VALUE         UNCERTAINTY         MODEL
  136.17013960  -0.312878   4.17006186e-05   2.69077313e-04   0.00000000e+00
  136.19057410  -0.312721   2.45848430e-05   2.69220523e-04   0.00000000e+00
  136.21100850  -0.312563   2.57064457e-04   2.69247356e-04   0.00000000e+00
  136.23144300  -0.312406   1.81367272e-04   2.69241140e-04   0.00000000e+00
  136.25187761  -0.312249   4.47816976e-05   2.69199260e-04   0.00000000e+00
  136.27231201  -0.312092  -3.10174789e-04   2.69169135e-04   0.00000000e+00
  136.29274651  -0.311934  -2.27596049e-04   2.69084699e-04   0.00000000e+00
  136.31318111  -0.311777  -1.78934575e-04   2.69132394e-04   0.00000000e+00
  136.33361551  -0.311620  -2.50595654e-08   2.69085437e-04   0.00000000e+00
  136.35405001  -0.311463  -2.93653218e-04   2.69163196e-04   0.00000000e+00
  136.37448451  -0.311305  -5.73211481e-04   2.69136302e-04   0.00000000e+00
  136.39491902  -0.311148  -3.81212859e-04   2.69220093e-04   0.00000000e+00
  136.41535352  -0.310991  -3.93258280e-04   2.68990661e-04   0.00000000e+00
  136.43578802  -0.310834  -4.88572799e-04   2.69172459e-04   0.00000000e+00
  136.45622262  -0.310676  -1.21938366e-04   2.68875207e-04   0.00000000e+00
  136.47665702  -0.310519  -2.01071136e-05   2.68946289e-04   0.00000000e+00
  136.49709152  -0.310362   6.65453397e-04   2.68990384e-04   0.00000000e+00
  136.51752602  -0.310205   2.74574052e-04   2.69019771e-04   0.00000000e+00
  136.53796053  -0.310047   1.96348011e-04   2.69056297e-04   0.00000000e+00
  136.55839503  -0.309890  -1.70976121e-04   2.68926349e-04   0.00000000e+00
  136.57882953  -0.309733  -7.19178444e-05   2.68854252e-04   0.00000000e+00
  136.59926403  -0.309575  -3.74197801e-04   2.69083868e-04   0.00000000e+00
  136.61969853  -0.309418   7.03133181e-05   2.69042172e-04   0.00000000e+00
  136.64013303  -0.309261   5.16649457e-04   2.69167904e-04   0.00000000e+00
  136.66056753  -0.309104   4.72913650e-04   2.69174243e-04   0.00000000e+00
  136.68100203  -0.308946   1.45241389e-04   2.68843482e-04   0.00000000e+00
  137.06925744  -0.305959  -1.88447089e-04   2.69129163e-04   0.00000000e+00
  137.35534044  -0.303757   5.31780223e-04   2.69034264e-04   0.00000000e+00
